   Size(K) ModuleName                                         FileName
   ------- ----------                                         --------
      4516 cs2.exe                                            S:\Games\Counter-Strike 2\bin\win64\cs2.exe
      2016 ntdll.dll                                          C:\Windows\SYSTEM32\ntdll.dll
       764 KERNEL32.DLL                                       C:\Windows\System32\KERNEL32.DLL
      2888 KERNELBASE.dll                                     C:\Windows\System32\KERNELBASE.dll
      1668 USER32.dll                                         C:\Windows\System32\USER32.dll
       136 win32u.dll                                         C:\Windows\System32\win32u.dll
       172 GDI32.dll                                          C:\Windows\System32\GDI32.dll
      1084 gdi32full.dll                                      C:\Windows\System32\gdi32full.dll
       628 msvcp_win.dll                                      C:\Windows\System32\msvcp_win.dll
      1024 ucrtbase.dll                                       C:\Windows\System32\ucrtbase.dll
       696 ADVAPI32.dll                                       C:\Windows\System32\ADVAPI32.dll
       632 msvcrt.dll                                         C:\Windows\System32\msvcrt.dll
       624 sechost.dll                                        C:\Windows\System32\sechost.dll
       156 WINMM.dll                                          C:\Windows\SYSTEM32\WINMM.dll
      1168 RPCRT4.dll                                         C:\Windows\System32\RPCRT4.dll
       428 WS2_32.dll                                         C:\Windows\System32\WS2_32.dll
       192 IMM32.DLL                                          C:\Windows\System32\IMM32.DLL
       420 wintrust.dll                                       C:\Windows\System32\wintrust.dll
      1368 CRYPT32.dll                                        C:\Windows\System32\CRYPT32.dll
        72 MSASN1.dll                                         C:\Windows\SYSTEM32\MSASN1.dll
      5804 tier0.dll                                          S:\Games\Counter-Strike 2\bin\win64\tier0.dll
      5456 engine2.dll                                        S:\Games\Counter-Strike 2\bin\win64\engine2.dll
       308 steam_api64.dll                                    S:\Games\Counter-Strike 2\bin\win64\steam_api64.dll
      7444 SHELL32.dll                                        C:\Windows\System32\SHELL32.dll
      4192 steamnetworkingsockets.dll                         S:\Games\Counter-Strike 2\bin\win64\steamnetworkingsockets.dll
       156 bcrypt.dll                                         C:\Windows\System32\bcrypt.dll
       236 IPHLPAPI.DLL                                       C:\Windows\SYSTEM32\IPHLPAPI.DLL
      1624 dbghelp.dll                                        S:\Games\Counter-Strike 2\bin\win64\dbghelp.dll
       468 vfbasics.dll                                       C:\Windows\SYSTEM32\vfbasics.dll
       252 vrfcore.dll                                        C:\Windows\SYSTEM32\vrfcore.dll
       464 verifier.dll                                       C:\Windows\SYSTEM32\verifier.dll
        32 psapi.dll                                          C:\Windows\System32\psapi.dll
     22232 steamclient64.dll                                  C:\Program Files (x86)\Steam\steamclient64.dll
      1192 ole32.dll                                          C:\Windows\System32\ole32.dll
      3412 combase.dll                                        C:\Windows\System32\combase.dll
       820 OLEAUT32.dll                                       C:\Windows\System32\OLEAUT32.dll
       340 SHLWAPI.dll                                        C:\Windows\System32\SHLWAPI.dll
       116 imagehlp.dll                                       C:\Windows\System32\imagehlp.dll
      4512 SETUPAPI.dll                                       C:\Windows\System32\SETUPAPI.dll
       312 cfgmgr32.dll                                       C:\Windows\System32\cfgmgr32.dll
        40 VERSION.dll                                        C:\Windows\SYSTEM32\VERSION.dll
       424 MSWSOCK.dll                                        C:\Windows\SYSTEM32\MSWSOCK.dll
        48 Secur32.dll                                        C:\Windows\SYSTEM32\Secur32.dll
      1624 tier0_s64.dll                                      C:\Program Files (x86)\Steam\tier0_s64.dll
       716 vstdlib_s64.dll                                    C:\Program Files (x86)\Steam\vstdlib_s64.dll
       200 SSPICLI.DLL                                        C:\Windows\SYSTEM32\SSPICLI.DLL
       692 shcore.dll                                         C:\Windows\System32\shcore.dll
        48 CRYPTBASE.DLL                                      C:\Windows\SYSTEM32\CRYPTBASE.DLL
       520 bcryptPrimitives.dll                               C:\Windows\System32\bcryptPrimitives.dll
      1716 crashhandler64.dll                                 C:\Program Files (x86)\Steam\crashhandler64.dll
      4964 WININET.dll                                        C:\Windows\SYSTEM32\WININET.dll
      1572 gameoverlayrenderer64.dll                          C:\Program Files (x86)\Steam\gameoverlayrenderer64.dll
        72 kernel.appcore.dll                                 C:\Windows\SYSTEM32\kernel.appcore.dll
       632 uxtheme.dll                                        C:\Windows\system32\uxtheme.dll
      1476 SDL2.dll                                           S:\Games\Counter-Strike 2\bin\win64\SDL2.dll
       696 mscms.dll                                          C:\Windows\SYSTEM32\mscms.dll
       184 USERENV.dll                                        C:\Windows\SYSTEM32\USERENV.dll
        68 ColorAdapterClient.dll                             C:\Windows\SYSTEM32\ColorAdapterClient.dll
